vzorek	Jméno vinařství	Adresa	Odruda	Jakost	Rok
1	Vinařství Zlatý Hrozen	Mikulov	MT	MZV	2020
2	Rodinné sklepy U Dubu	Velké Bílovice	MT	Jak	2020
3	Vinařství Slunný Svah	Valtice	VZ	Jak	2020
4	Krystalické Víno s.r.o.	Znojmo	VZ	MZV	2020
5	Vinařství Na Soutoku	Břeclav	VZ	MZV	2020
6	Barrique Masters	Čejkovice	VZ	Kab 	2020
7	Sklep u Staré Révy	Pavlov	VZ	PS	2020
8	Vinařství Modrá Bobule	Mutěnice	Ng	Jak	2020
9	Templářský Odkaz	Čejkovice	Ng	PS	2020
10	Vinařství pod Pálavou	Klentnice	RV	Jak	2019
11	BioVíno Horák	Bořetice	RV	PS	2020
12	Víno Terroir Moravia	Mikulov	RR	Jak	2020
13	Vinařství Jantarový Lok	Velké Pavlovice	RR	MZV	2018
14	Rodina Špačkova - vinaři	Sedlec	RR	PS	2020
15	Vinařství Granát	Hustopeče	RR	MZV	2020
16	Dunajovický Vánek	Dolní Dunajovice	RR	Jak	2020
17	Vinařství Noční Sběr	Rakvice	RŠ	PS	2020
18	Sekt a Syn	Valtice	RŠ	PS	2019
19	Vinařství Na Pískách	Strážnice	RŠ	VzH	2019
20	Zámecký doušek	Lednice	RŠ	Jak	2018
21	Vinařství Perla Moravy	Šatov	RB	PS	2020
22	Babiččino Vinařství	Kobylí	RB	PS	2020
23	Vinařství Pozdní Sběr	Popice	RB	PS	2020
24	Dva Duby a Réva	Moravská Nová Ves	CHA	MZV	2020
25	Vinařství Sv. Vavřince	Hodonín	CHA	PS	2020
26	Moravský hrozen a.s.	Uherské Hradiště	CHA	PS	2020
27	Vinařství U Kapličky II	Zaječí	CHA	MZV	2019
28	Víno z Pískovců	Mikulov	Hib	Jak	2019
29	Vinařství Ledové Květy	Valtice	Hib	MZV	2019
30	Vinařství Stará Cesta	Blatnice	Hib	PS	2018
